question,answer
O rio Takutu forma a fronteira entre a Guiana e que outro país,Brasil
Quanto dinheiro tem o programa vermelho doado para a floresta amazônica,Mais de 117 milhões
Onde está Campos do Jorda localizado no Rio de Janeiro,Montanhas de Mantiqueira
O que o Oceano Rio Grande do Sul conecta-se a,o Oceano Atlântico
Onde foi a primeira temporada do Exatlon filmado,Brasil
Quem é o treinador de futebol inglês que introduziu técnicas de treinamento brasileiras,Simon Darcy Clifford
quanto da floresta amazônica é fertilizada por poeira,Mais de 56%
Quem fundou Santo Daime no Amazonas,Raimundo Irineu Serra
A Praia de Ponta Negra é em qual cidade do Brasil,Natal
Que forte foi construído do outro lado do rio da missão La Bahia,Presidio La Bahia.
em que país sul-americano você encontraria tênis de praia,Brasil
Onde os fogos de artifício no Rio de Janeiro são originários de,barcos.
Onde está o Tucano Green-Billed encontrado na América do Sul,a Mata Atlântica.
Adriano Schneider é um pesquisador brasileiro que está lutando contra o qual,o vírus Zika.
Qual é a capacidade da arena pantanal,44.003 espectadores
Qual porcentagem de desmatamento no Brasil é devido a pequenos agricultores,30%
Onde o amazonas filarmônico realiza?,Amazon Theatre.
que tipo de boa é stil marq no mestre de tinta,Bio-Íris brasileiro BOA.
Onde o Rio de Janeiro venceu a oferta para o Olímpico de 2016,praia de Copacabana
Quando foi a Pipa Beach no Brasil criada,1626.
Quantos competidores foram eliminados na 4ª temporada do Brasil,doze
Quando foi relatada doença laranja no Brasil,2004.
O periquito marcado por ocre é um pássaro nativo a qual país,Brasil
Quando foi descoberta a doença de Chagas no Brasil?,1909.
Em qual cidade era a 'Xuxa Park Fire',Rio de Janeiro
Quando a Universidade do Amazonas ficou melhor no Brasil?,2011.
que mede o número de assentos na Câmara dos Deputados,Instituto Brasileiro de Geografia e Estatística
Qual porcentagem de mortes natimorts no Brasil é causada pela doença de Chagas,13%
Quando a conferência da Amazônia ocorreu?,Abril de 1990.
Qual treinador de futebol inglês é conhecido por introduzir técnicas brasileiras de treinamento no Reino Unido,Simon Darcy Clifford
Quantos ramos do rio Tocantins,vinte
Manaus é a capital de qual estado da floresta tropical,Amazonas.
Quem ganhou a próxima temporada do modelo do Brasil 3,Camila Trindade
Por que os bellbirds barbudos são raros no Brasil?,Destruição do habitat.
Qual é o nome do aqüífero localizado na região do Cerrado do Sul,Aquífero guarani.
Qual porcentagem do arquipélago Fernando de Noronha foi designada como,70%
Qual é o nome da estação biológica na Mata Atlântica?,Estação Biológica Caratinga.
Quando a temporada 2 da Flora Brazil terminar,28 de agosto de 2006
Quando Barcelos Amazonas se tornou uma cidade,2005.
De qual país o prato amazônico manidoba é originário,Brasil
Quantos bebês um rato amazônico tem,até oito.
Que conflito entre a Turquia e o Brasil tocam relações nos últimos meses,Genocídio armênio
De onde vive a arara vermelha.,América do Sul da Amazônia tropical
Quando foi a floresta amazônica protegida por Correa,2007.
Que porcentagem dos grãos no aquífero guarani tem um diâmetro entre,acima de 50 %
De que país o manidoba do prato amazônico vem,Brasil
O Kayabí são um povo indígena em que país,Brasil
Quantas espécies de insetos são encontradas na floresta amazônica,"2,5 milhões"
Qual é o jogo animal brasileiro chamado,Bogo do bicho.
Onde o Brasil está no mundo para espécies em extinção,oitavo maior
Quem foi o ministro do ambiente canadense durante as manifestações no Brasil,Peter Kent.
O rio Javaria forma a fronteira entre o Peru e o Brasil.qual rio,a Amazônia
Qual é o nome do país em que o novo carnaval de Elizabeth Bear é,Nova amazônica
Que tipo de craton está localizado na América do Sul,Amazônia
Quantas espécies endêmicas são encontradas na Mata Atlântica,Aproximadamente 40%
Onde foi realizada a primeira temporada de Floribella?,Brasil
que viveu na região da Amazonas da América do Sul,C.
Quando a praia se revoltou no Brasil?,1848 a 1849.
Qual é o maior estado da Brasil?,Amazonas.
Quantos pescadores brasileiros resgatam poon lim do submarino alemão Ben L,três
Quando o superstar temporada 1 começou no Brasil,6 de abril de 2014
Quem nomeou o Brasil como um dos heróis ambientais do mundo,Revista Time
Quem foi a principal fonte de educação em Roraima,os indígenas
Qual rio Fawcett explorou no Brasil,o rio Tapirapé.
"Brycon Trout são o quinto peixe mais pego na Amazônia, de acordo com",Ibama.
Que tipo de argila o aquífero guarani tem,baixo teor de argila
onde é o rato de árvore pintado encontrado no mundo,Mata Atlântica
onde os parrotos se escondem na floresta amazônica,buracos de árvore
Quantas espécies de anfíbios existem no Brasil?,mais de 500.
Onde vivem os Corydoras SixRay no Brasil?,A bacia do rio Araguaia superior
Quem é o fundador do canal de TV TeleMEZONAS,Antonio Granda Centeno.
Qual foi o nome da banda de Blake Schwarzenbach?,Jatos para o Brasil
De onde se encontra a corrente de Falkland com a corrente do Brasil,o mar argentino
Qual é o nome do bioma savana brasileiro localizado em Goiás,Cerrado
Quando o estado da Amazonas tem um grande crescimento populacional,início do século 20
Quantos finalistas estão na próxima temporada do modelo do Brasil,Treze
Quem transmite policiais no Brasil na 7ª temporada,trutv.
Que oceano é encontrado na região sul do Brasil,oceano Atlântico
quando o manatee amazônico tem seu primeiro bebê,Entre dezembro e julho
A reserva do Cerrado Biosfera é em qual país,Brasil
Quilombos são indígenas dos quais país sul-americano,Brasil
Qual é a principal ameaça às florestas do Brasil,desmatamento
O que eram marinheiros asiáticos chamados no Brasil?,Lascars.
Onde William S Burroughs e Allen Ginsberg entraram em busca,a floresta amazônica
A floresta amazônica faz parte de que reino maior,O neotropic
Quantas pessoas no Amazonas falam ocaina,12.
O slider Black-Belly é uma espécie de tartaruga de água nativa a qual país,Brasil
Qual é o nome da floresta sul-americana que se estende ao longo do Atlântico?,A Mata Atlântica
A região de Amazonas é a mais próxima de qual oceano,oceano Pacífico
Fernando de Noronha está localizado fora da costa de qual país,Brasil
Onde o filme Natura contros aconteceu?,Floresta amazônica
Quanto tempo levou o Brasil para treinar seu exército para a Europa?,dois anos
A floresta amazônica na Nicarágua é maior que a qual outro país,Brasil
Quando Borba Amazonas se tornou uma cidade portuguesa,1755.
onde Patricio Freire trem no Brasil,Chute Boxe Academy.
Que estado é a montanha mais alta em São Guimarães,Rio de Janeiro
Qual é o nome da única praia nua do Brasil,Barra Seca.
"Em que embaixador de mudança climática do país chamou a conferência de Mudança Climática de 2009 ""decepciona",Brasil
O que o feriado brasileiro reconhece e honra os povos indígenas do Brasil,Dia indiano
O próximo modelo de vencedor do Brasil,Mariana Velho.
Quais são as principais questões que o Brasil e o México trabalharam em,das Alterações Climáticas
Quem construiu o viaduto Swithland e a Ilha Brasil,Messrs John Aird & Sons
Qual é uma das áreas naturais mais populares do Brasil,Floresta amazônica
Quem tem o selo do Brasil em sua bandeira nacional,O Presidente do Brasil
Quem ganhou sobrevivente Tocantins temporada 9 final,James Thomas Jr.
Qual é o animal mais ameaçado de Santa Catarina,porquinho da índia
De onde veio a árvore em agitar chocalho e rolar ix,a floresta amazônica
Quando é o HMS Ocean chegando ao Rio de Janeiro,25 de agosto de 2018.
Qual porcentagem da região do Cerrado é molhada,mais de 90%
Que tipo de tartaruga marinha coloca seus ovos na Bahia de Tembo,Olive Ridley.
onde é a cidade perdida em sonhos da Amazônia,Floresta amazônica
Qual é outro nome para o grupo amazônico de Wai Wai,Arara
que vence a primeira temporada do Campeonato Nacional de Futebol Brasileiro,Esporte Clube Bahia.
O que foi fechado na floresta nacional de Roraima,Minas de ouro
O Hocicudo Amazônico é nativo de qual país,Brasil
em que país é o pássaro piculeto varzea endêmico para,Brasil
De onde os judeus se estabeleceram no Brasil?,a Amazônia
Qual cidade é servida pela Baía de Guanabara,Rio de Janeiro
Qual é o nome do Espírito na mitologia brasileira que protege os animais,Anhangá.
O que Florencia em El Amazonas transformou em,uma borboleta
Que espécies invasoras são encontradas em Ormond pelo mar,Árvores brasileiras de pimenta.
O Parque Nacional Ubajara está localizado em que Bioma,Bioma de Caatinga.
Quem sequestrou Dale no filme carne Gordon,Lésbicas amazônicas
Quando a Copa do Mundo foi realizada no Amazonas?,2014.
Qual foi o crime mais comum na guerra amazônica?,roubo de porco
onde está plasmodium neusticuri encontrado na Amazônia,Brasil
onde está a droga para iniciativa de doenças negligenciadas sendo implementadas,Brasil
Quem dirige os jogos indígenas do mundo no Brasil,Conselho Inter tribal
Onde fica o Alto Torre Observatório localizado no Brasil,floresta amazônica
Quem é o autor do relatório sobre a taxa de desmatamento do Brasil,Daniel Nepstad.
O território indígena de Cué-Cué / Marabitanas é em que país,Brasil
quantas estradas foram construídas no Brasil para ajudar com o desmatamento,dois
Quantos grandes ecossistemas estão na floresta amazônica,53.
Quem foi o missionário espanhol que relatou ver as amazônicas brancas,GASPAR DE CARVAJAL.
Onde é encontrada Genlisea Aurea no mundo?,Brasil
Qual é a extensão sul da Serra do Mar?,SERRA GERAL
Quem escreveu o romance New Amazonia uma antecipação do futuro,Elizabeth Burgoyne Corbett.
a floresta amazônica está à beira de se transformar em savana ou o que,deserto
Quem William Cooley não condenou,Assassinos do chefe Alibama
O que é a tradução inglês do Rio de Janeiro,Rio de janeiro
metade da terra do Brasil é coberta por,Florestas
Qual evento levou ao surgimento da governança ambiental no Brasil,crise financeira global
Onde as baleias brasileiras vivem na baía?,Baía de Guanabara
Qual é a nona diocese da província do Brasil?,Missão da Amazônia.
Quem está tentando impedir a construção de usinas nucleares no Brasil,Paz verde
quantas diferentes estações do ano faz Brasil produzir etanol,dois
Qual é o nome do forte da defesa costeira no Rio de Janeiro,Fort Copacabana.
Quando as leis do Brasil nas florestas e da vida selvagem,1930.
onde o gigante branco louco vive no livro,Selva amazônica
Quantas espécies de mamíferos existem no Brasil?,mais de 689.
O rio Piratini separa o Brasil de que outro país,Uruguai
O Cerveja Xingu é nomeado após o qual o rio no Brasil,Rio Xingu.
Qual país tem algumas das maiores bacias fluviais do mundo?,Brasil
Como é o morcego saco amazônico avaliado pelo IUCN,Dados deficientes
Quem gerencia o ecossistema do Guaporé no Brasil,Chico Mendes Institute for Biodiversity Conservation
A precipitação mínima por ano para Hevea Brasiliensis ser produtiva,cerca de 1.200 mm.
Qual porcentagem da floresta amazônica é composta por imperador Tamarin?,40%
O que é ilegal no Amazonas,exploração madeireira
Onde estão as florestas secas do Atlântico localizadas na América do Sul,Oriental Brasil.
Quando o Brasil começou a usar a agricultura de camarão marinho?,1974.
Qual é a montanha mais alta do Parque Nacional de Canaima,Monte Roraima.
Em que país era o fogo de circo do niterói em 1961,Brasil
Qual é o fator mais importante na determinação da vegetação no Cerrado,Fertilidade do solo
O que é a tradução inglês do paranagua,Ótimo mar redondo
Que tipo de clima é o Brasil em,tropical
Quais são os países vizinhos do estado do Amazonas?,Colômbia
Que oceano está entre Báltica e Amazônia,O Oceano do Iapetus.
O rio Ireng forma uma fronteira entre Guiana e que outro país,Brasil
Onde fica a cidade das feras em,a floresta amazônica
que takeo yano trem com no Brasil,Naoichi.
Onde estão os ossos da Oxalaia encontrados no Brasil,Ilha Cajual
Quando o Brasil e a Ucrânia têm um diálogo de alto nível?,Outubro de 1995.
Onde os protestos no Rio de Janeiro aconteceram?,praia de Copacabana
Quanto tempo demorou para as chuvas pararem no Rio de Janeiro,24 horas
O Centro Nacional de Conservação de Pássaros coordena um esquema nacional para a pássaro tocando em que país,Brasil
onde está a praia de Jericoacoara localizada no Brasil,Ceará.
Quando foi descoberto o aquífero guarani na América do Sul,O.
Quando você é a primeira estreia da temporada Brasil,17 de janeiro de 2016
que é a única ilha do arquipélago de Alcatrazes não incluído em,SAPATA ISLAND.
onde o 5º macaco aconteceu,Brasil
A cidade de Juquitiba está localizada em que floresta,Mata Atlântica
Quantos animais estão em Wild Brazil Series,três
Onde estão as espécies mais ameaçadas no Brasil,a Mata Atlântica.
Pico 31 de Março é a segunda montanha mais alta em que sul-americano,Brasil
Onde está o handebol da praia jogado no mundo,Brasil
Qual é a altura dos Andes da Amazônia?,2 a 3.000 metros
Onde fica a ponta da ilha de Santa Catarina localizada,Serra do Tabuleiro Estadual Parque
Onde estão as ilhas virgens em 2016?,"Rio de Janeiro, Brasil"
que tipo de país está localizado no amazonas,brasileiro
Quantos pássaros e mamíferos estão na floresta amazônica,2.000.
Quando é o Instituto Brasileiro de Geografia e Estatística Ajustado,sazonalmente
Botafogo Beach está localizada em que Bay of Brazil,Baía de Guanabara
O território indígena da Daje Kapap Eipi é em que a América do Sul,Brasil
Quando o Brasil e a Ucrânia estabeleceram um relacionamento?,11 de fevereiro de 1992
Onde a maioria do território indígena do Brasil veio de,português
O que é encontrado nas bacias offshore do Brasil,óleo
Quem corre a floresta nacional de Roraima,Instituto Federal Chico Mendes para conservação da biodiversidade
